StudentID,Name,Gender,Age,GradeLevel,GPA,MathScore,EnglishScore,ScienceScore,AttendanceRate,BehaviorNotes,ParentalSupport,City,SchoolName,RegisteredDate
S1000,Reem Aldosari,Male,16,12,2.93,70,65,70,98.6,bad,N,Riyadh,Bright academy,5/30/2021
S1001,Khalid Alsubaie,MALE,18,10,2.77,nan,85,100,86.5, ,Yes,Dammam,Bright Academy,6/8/2021
S1002,Layla Almutairi,female,16,10,3,80,65,50,102,Excellent,Yes,Riyadh,Bright Academy,10/6/2021
S1003,Omar Alshammari,male,16,11,3.3,70,75,60,87, ,Y,Riyadh,Future School,3/27/2023
S1004,Khalid Alzahrani,Female,16,11,2.28,80,75,70,84.2, ,Y,riyadh,Bright Academy,2/8/2022
S1005,Lama Alharbi,FEMALE,18,11,1.85,80,85,70,84.4,Excellent,N,jedda,Future  School,6/12/2023
S1006,Nora Alshammari,FEMALE,16,12,2.72,80,75,60,74.3,Needs Improvement,no,Riyad,Bright Academy,11/9/2022
S1007,Lama Alghamdi,Female,15,12,2.39,70,75,60,96.7, ,TRUE,Jeddah,Bright academy,11/7/2021
S1008,Sara Alsubaie,FEMALE,17,12,2.75,70,75,50,73.7,bad,no,Jeddah,Future School,3/9/2021
S1009,Ali Alshammari,M,18,11,2.93,80,85,60,79.7,Needs Improvement,Yes,Jeddah,Bright Academy,4/8/2022
S1010,Khalid Alghamdi,MALE,15,10,2.77,70,65,50,71.2,Average,FALSE,Riyad,Bright Academy,3/29/2021
S1011,Khalid Alsubaie,M,16,12,3.73,60,65,70,91.1, ,Yes,Riyad,Future  School,8/5/2021
S1012,Ali Alshehri,MALE,15,10,3.16,90,nan,50,90.5,bad,TRUE,Dammam,Future School,1/1/2021
S1013,Nora Alghamdi,MALE,16,11,3.15,90,75,50,88.7, ,N,Dammam,Future  School,5/15/2021
S1014,Layla Alzahrani,M,16,10,3.31,70,75,70,81.6,Average,N,Riyadh,Future School,11/28/2022
S1015,Lama Alzahrani,Female,17,11,2.43,60,55,70,80.3,Needs Improvement,Y,Riyad,Bright academy,12/17/2021
S1016,Sara Alshammari,male,17,10,3.52,70,75,80,96.6, ,Y,jedda,Future School,5/20/2021
S1017,Lama Alsubaie,male,17,11,2.96,80,65,70,86.5,Excellent,FALSE,Jeddah,Future School,9/10/2022
S1018,Lama Alsubaie,M,16,11,3.34,90,55,60,95.2,Excellent,TRUE,Riyadh,Bright academy,5/13/2021
S1019,Ali Almutairi,Female,18,10,2.46,60,seventy,80,83.1,bad,Yes,JEDDAH,Future  School,9/12/2022
S1020,Khalid Almutairi,female,16,11,2.22,60,55,70,93.8,Excellent,Y,jedda,Future  School,6/27/2021
S1021,Faisal Alshehri,Female,-1,12,3.41,90,55,50,105,Average,No,JEDDAH,Bright academy,3/21/2023
S1022,Layla Aldosari,M,17,12,3.19,70,75,70,97.9,Excellent,yes,Dammam,Future  School,12/24/2021
S1023,Omar Alotaibi,M,15,11,2.55,70,75,100,87.9,Good,Y,Riyadh,Future School,1/15/2022
S1024,Khalid Alsubaie,M,17,10,2.57,eighty,nan,60,94.6,Needs Improvement,yes,riyadh,Future School,6/27/2023
S1025,Lama Alotaibi,Male,16,11,3.56,60,75,60,89.6,bad,N,Dammam,Bright Academy,5/21/2023
S1026,Sara Alshammari,MALE,17,11,2.41,80,65,50,92.1,Good,FALSE,Dammam,Future School,10/20/2022
S1027,Reem Aldosari,female,15,10,3.82,60,55,50,88.7,Excellent,TRUE,jedda,Bright academy,3/26/2022
S1028,Reem Alotaibi,Female,15,11,2.55,70,55,60,90.4,Excellent,Yes,jedda,Bright Academy,8/9/2022
S1029,Lama Alharbi,Male,18,11,3.32,80,75,70,94.1,Excellent,Y,Riyad,Bright academy,4/8/2022
S1030,Nora Alshammari,Female,16,11,2.84,70,65,50,82.1,bad,no,Riyadh,Future School,9/17/2023
S1031,Nora Alshehri,FEMALE,18,10,3.3,eighty,85,100,81.8,Excellent,TRUE,Riyadh,Future School,4/18/2021
S1032,Faisal Alsubaie,Male,16,10,2.73,80,75,80,78.1,bad,TRUE,Riyadh,Bright Academy,5/2/2021
S1033,Layla Alshammari,F,17,11,2.92,70,seventy,70,76,Needs Improvement,N,Riyadh,Future  School,1/17/2021
S1034,Nora Aldosari,F,17,12,3.02,60,65,80,79.8,Needs Improvement,yes,Riyad,Future  School,7/15/2021
S1035,Sara Almutairi,MALE,17,10,2.5,70,seventy,50,93.6, ,no,Riyadh,Future School,11/23/2021
S1036,Khalid Aldosari,M,16,12,3.37,70,65,60,83.1,Average,N,riyadh,Future School,11/14/2021
S1037,Khalid Alshammari,female,16,12,2.74,60,65,70,97.1,bad,no,riyadh,Bright academy,3/20/2023
S1038,Lama Almutairi,MALE,15,11,2.89,70,55,80,92.3,Good,no,jedda,Future  School,4/24/2022
S1039,Khalid Alotaibi,Female,16,10,2.5,70,55,80,72.3,bad,no,JEDDAH,Future School,9/9/2021
S1040,Layla Alqahtani,M,17,10,1.72,80,75,60,98.5, ,no,Jeddah,Bright Academy,5/18/2022
S1041,Reem Alharbi,MALE,200,11,2.9,80,65,100,100.1, ,FALSE,jedda,Bright academy,9/26/2023
S1042,Ahmed Alshehri,MALE,18,12,4.21,80,55,50,82.1, ,FALSE,Jeddah,Future  School,4/29/2021
S1043,Faisal Alzahrani,FEMALE,17,12,3.39,nan,75,80,96.2,Excellent,FALSE,Riyad,Future School,11/5/2022
S1044,Faisal Almutairi,FEMALE,17,10,2.99,60,65,100,83.4,Excellent,No,Riyadh,Bright Academy,12/11/2022
S1045,Faisal Alqahtani,Female,17,11,2.87,80,75,50,93,bad,N,Riyad,Bright academy,5/13/2022
S1046,Ali Aldosari,MALE,16,11,3.01,70,65,70,79.4,Needs Improvement,FALSE,JEDDAH,Future School,5/1/2022
S1047,Ahmed Alghamdi,F,200,12,3.27,nan,75,,74.1,Needs Improvement,Yes,Riyadh,Bright academy,2/14/2021
S1048,Omar Alzahrani,female,17,10,2.41,80,75,60,88.2, ,Y,riyadh,Future  School,11/10/2021
